City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
100,Port-Cartier,CA,2019-11-10 23:03:03,50.03,-66.88,35.01,87,90,14.99,light snow,0,0
101,Mackay,CA,2019-11-10 23:03:03,53.65,-115.58,8.6,84,20,4.09,few clouds,0,0
102,Kavieng,PG,2019-11-10 23:03:03,-2.57,150.8,81.77,70,93,3.24,overcast clouds,0,0
103,Necochea,AR,2019-11-10 23:03:03,-38.55,-58.74,55.99,89,68,8.01,broken clouds,0,0
104,Bocaiuva,BR,2019-11-10 23:03:04,-17.12,-43.81,91.4,17,57,5.82,broken clouds,0,0
105,Mehamn,NO,2019-11-10 23:03:04,71.03,27.85,32.0,68,61,19.46,broken clouds,0,0
106,Kaeo,NZ,2019-11-10 23:03:04,-35.1,173.78,57.0,100,100,11.86,moderate rain,5.44,0
107,Iqaluit,CA,2019-11-10 23:03:04,63.75,-68.52,3.2,84,40,6.93,scattered clouds,0,0
108,Kupang,ID,2019-11-10 23:03:04,-10.16,123.6,80.6,83,20,3.36,few clouds,0,0
109,Matamoros,US,2019-11-10 22:58:27,25.87,-97.51,77.0,60,90,12.75,overcast clouds,0,0
110,Constantine,DZ,2019-11-10 22:58:28,36.36,6.61,44.6,81,90,11.41,overcast clouds,0,0
111,Isangel,VU,2019-11-10 23:03:05,-19.55,169.27,80.6,69,20,16.11,few clouds,0,0
112,Buenaventura,CO,2019-11-10 23:03:05,3.89,-77.07,74.59,97,96,2.8,moderate rain,4.81,0
113,Northam,AU,2019-11-10 23:03:06,-31.65,116.67,60.8,67,0,6.93,clear sky,0,0
114,Chai Badan,TH,2019-11-10 23:03:06,15.2,101.13,72.0,69,22,3.27,few clouds,0,0
115,Hermanus,ZA,2019-11-10 22:59:44,-34.42,19.24,66.0,87,63,11.01,broken clouds,0,0
116,Kindberg,AT,2019-11-10 23:02:30,47.51,15.45,37.0,92,0,0.92,fog,0,0
